chromosome,gene_id,gene_symbol,P-value,Zscore,Direction,regulation,heterogeneity_I_squared,heterogeneity_Chi_squared,heterogeneity_degrees_of_freedom_squared,heterogeneity_P-value
1,ENSG00000196517,SLC6A9,3.79E-15,7.862,++,Upregulated in AD,81.2,5.322,1,0.02105
20,ENSG00000088836,SLC4A11,1.92E-13,7.354,++,Upregulated in AD,86.4,7.36,1,0.006668
1,ENSG00000196154,S100A4,2.21E-12,7.021,++,Upregulated in AD,65.1,2.864,1,0.0906
X,ENSG00000171388,APLN,2.90E-12,6.983,++,Upregulated in AD,76.7,4.294,1,0.03826
12,ENSG00000111181,SLC6A12,4.46E-12,6.922,++,Upregulated in AD,42.7,1.744,1,0.1866
12,ENSG00000053702,NRIP2,1.14E-11,6.787,++,Upregulated in AD,0,0.942,1,0.3316
1,ENSG00000188783,PRELP,1.42E-11,6.756,++,Upregulated in AD,41.2,1.7,1,0.1923
1,ENSG00000117115,PADI2,1.83E-11,6.719,++,Upregulated in AD,0,0.057,1,0.8111
19,ENSG00000105419,MEIS3,5.72E-11,-6.551,--,Downregulated in AD,0,0.158,1,0.6906
1,ENSG00000159176,CSRP1,1.13E-10,6.449,++,Upregulated in AD,55.3,2.236,1,0.1348
1,ENSG00000143772,ITPKB,1.82E-10,6.376,++,Upregulated in AD,0,0.328,1,0.5671
4,ENSG00000151552,QDPR,2.20E-10,6.347,++,Upregulated in AD,79.6,4.895,1,0.02694
19,ENSG00000125733,TRIP10,4.02E-10,6.253,++,Upregulated in AD,39,1.64,1,0.2003
19,ENSG00000105643,ARRDC2,2.22E-09,5.981,++,Upregulated in AD,85.6,6.947,1,0.008398
2,ENSG00000121966,CXCR4,2.81E-09,5.942,++,Upregulated in AD,48.5,1.943,1,0.1633
19,ENSG00000105655,ISYNA1,2.99E-09,5.932,++,Upregulated in AD,54,2.172,1,0.1405
3,ENSG00000012223,LTF,3.00E-09,5.931,++,Upregulated in AD,0,0.805,1,0.3695
