"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"653635",820.123122982333,0.00647591053831309,0.0883956886150644,0.892704615749942,0.954647640130854,"WASH7P"
"729737",788.372688027384,0.145258396386202,0.246999001541978,0.0106163042897169,0.10439592332596,"LOC729737"
"102723897",812.41540809678,0.0868323284074333,0.109335410937882,0.122462794304062,0.366282925374984,"LOC102723897"
"100132287",320.911410648893,0.105985570414552,0.140882311238496,0.0805398092474935,0.301054465818937,"LOC100132287"
"102465432",480.697617286673,-0.467378751647335,0.17724793370854,7.3272852814216e-05,0.00467664612771712,"102465432"
"100133331",318.059244155188,0.262432349043876,0.22514679584886,0.00470277939381348,0.0652366482122736,"100133331"
"100288069",70.3651061038194,0.0180218518109663,0.120997764823209,0.683625920294503,0.852955278096955,"LOC100288069"
"79854",109.769247053236,0.365176659563841,0.293453050938141,0.00101552388421922,0.0263777147681634,"LINC00115"
"643837",5279.55587669345,-0.137197864485175,0.100566790723034,0.0223596578406714,0.155166693854294,"LINC01128"
"100130417",690.773344756835,0.00314731202094023,0.0761165832349566,0.947764457015573,0.97904677389238,"LINC02593"
"148398",32.8232277646664,-0.0673347299554673,0.158019946329484,0.151210424301817,0.407349405931167,"SAMD11"
"26155",4845.01480170909,-0.0187745197574659,0.0556512876016956,0.669179559505276,0.845690971354131,"NOC2L"
"339451",647.802412607625,0.0911543803010654,0.148419715850225,0.108609807725421,0.345840664495938,"KLHL17"
"57801",3437.65096796708,0.114773366173335,0.0925869360874862,0.0424728739877402,0.216952576727343,"HES4"
"9636",270.575304650817,-0.0366484938916487,0.0864698198909535,0.459656535195497,0.708695160714801,"ISG15"
"375790",20053.6180711646,-0.0630460733749106,0.0629698083200297,0.178672924737344,0.44508241228315,"AGRN"
"105369174",33.0870333579159,-0.0375486738599614,0.139984590027496,0.374528744562693,0.640747824118749,"105369174"
"54991",565.237561602851,-0.00850172471527252,0.0874020072199976,0.859695851459786,0.939166289655955,"C1orf159"
"51150",5343.65543797448,0.0573805810521214,0.0515099780302263,0.174235655898181,0.438474406415047,"SDF4"
"126792",3145.75486206397,-0.335426575149534,0.115878054528159,6.09665441992541e-05,0.00410194726676303,"B3GALT6"
"388581",66.379025694188,0.206774069464366,0.300766228307686,0.00354188322682772,0.0556534799622837,"C1QTNF12"
"118424",3259.25365744946,-0.0633989296111114,0.0563353293976174,0.153631061618958,0.410683056329256,"UBE2J2"
"6339",225.581883173394,0.241482592637139,0.236669259590212,0.00592091374549731,0.0749213882642754,"SCNN1D"
"116983",7608.55064662979,0.0473161997911805,0.0899543694305225,0.349161829818078,0.618538153333626,"ACAP3"
"126789",624.139725903302,0.030244395872447,0.0736398048405829,0.532034636681789,0.760910666358363,"PUSL1"
"54973",2881.48641180936,0.045024958361421,0.076615281526942,0.36145042916126,0.629935649652719,"INTS11"
"80772",2413.49671777265,-0.115103839737072,0.0713109310980949,0.0233468114396544,0.159590463655894,"CPTP"
