"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061564","axon development","48/366","456/12787",0.105263157894737,3.6775956284153,9.99442641065285,3.44084906772619e-15,1.21427563600057e-11,1.07064735202091e-11,"CHRNB2/CNTN2/ANK3/CNTN5/NCAM1/LRTM2/CNTN1/NELL2/ATP8A2/DCLK1/NRXN3/PAFAH1B1/NTN1/CDH2/BCL2/APOE/NRXN1/EPHA4/CHODL/NCAM2/DSCAM/ADARB1/S100B/CHL1/CNTN4/ROBO2/ALCAM/SLITRK3/APOD/SLIT2/EPHA5/SLIT3/UNC5A/UST/TIAM2/ETV1/NEUROD6/COBL/SEMA3C/SEMA3E/RELN/CDK5/NTRK2/CDKL5/XK/PLP1/SLC9A6/SLITRK2",48
"GO:0007409","axonogenesis","44/366","399/12787",0.110275689223058,3.85271922976841,9.9374393478419,1.01385248006726e-14,1.78894270107868e-11,1.57734101635727e-11,"CHRNB2/CNTN2/ANK3/CNTN5/NCAM1/LRTM2/CNTN1/NELL2/ATP8A2/DCLK1/NRXN3/PAFAH1B1/NTN1/CDH2/BCL2/APOE/NRXN1/EPHA4/CHODL/DSCAM/ADARB1/S100B/CHL1/CNTN4/ROBO2/ALCAM/SLITRK3/SLIT2/EPHA5/SLIT3/UNC5A/UST/TIAM2/ETV1/COBL/SEMA3C/SEMA3E/RELN/CDK5/NTRK2/CDKL5/XK/SLC9A6/SLITRK2",44
"GO:0050808","synapse organization","45/366","443/12787",0.101580135440181,3.5489212892721,9.37259698545148,9.94341814835449e-14,1.1696774215181e-10,1.03132435251003e-10,"NEGR1/CHRNB2/DNM3/CNTN2/ANK3/GRID1/GRM5/CNTN5/KIRREL3/ERC1/LRTM2/PCDH8/SPTB/GPHN/PAFAH1B1/NTN1/CDH2/HAPLN4/APOE/SHISA7/NRXN1/EPHA4/DOCK10/SYNDIG1/DSCAM/CNTN4/CACNA2D2/ROBO2/SLITRK3/GABRG1/GABRA2/GABRA4/GABRB2/GABRG2/DBNL/FZD9/SEMA3E/RELN/LRRN3/CDK5/ZDHHC2/LINGO2/NTRK2/CDKL5/SLITRK2",45
"GO:0007416","synapse assembly","26/366","186/12787",0.139784946236559,4.88368881837946,9.15857703762461,1.9276140510339e-11,1.47202967290624e-08,1.29791344293474e-08,"NEGR1/CHRNB2/DNM3/CNTN5/KIRREL3/LRTM2/NTN1/CDH2/HAPLN4/NRXN1/SYNDIG1/DSCAM/ROBO2/SLITRK3/GABRG1/GABRA2/GABRA4/GABRB2/GABRG2/DBNL/LRRN3/CDK5/ZDHHC2/LINGO2/NTRK2/SLITRK2",26
"GO:0050804","modulation of chemical synaptic transmission","40/366","422/12787",0.0947867298578199,3.31157900189055,8.28891178598175,2.32536900509743e-11,1.47202967290624e-08,1.29791344293474e-08,"FBXO2/CHRNB2/GRID1/SORCS3/GRM5/ERC1/KRAS/KCNMB4/SYT1/PCDH8/BAIAP3/CALB2/CNTNAP4/PAFAH1B1/GFAP/CDH2/APOE/SHISA7/NRXN1/EPHA4/PLCB1/GRIK1/S100B/CNTN4/CACNA2D2/PPP3CA/GUCY1A1/GUCY1B1/SV2C/SCGN/AKAP7/PRKN/GRM3/RELN/CDK5/ZDHHC2/CALB1/NTRK2/CDKL5/GRIA3",40
"GO:0099177","regulation of trans-synaptic signaling","40/366","423/12787",0.0945626477541371,3.30375020992391,8.27095551788657,2.50274243055751e-11,1.47202967290624e-08,1.29791344293474e-08,"FBXO2/CHRNB2/GRID1/SORCS3/GRM5/ERC1/KRAS/KCNMB4/SYT1/PCDH8/BAIAP3/CALB2/CNTNAP4/PAFAH1B1/GFAP/CDH2/APOE/SHISA7/NRXN1/EPHA4/PLCB1/GRIK1/S100B/CNTN4/CACNA2D2/PPP3CA/GUCY1A1/GUCY1B1/SV2C/SCGN/AKAP7/PRKN/GRM3/RELN/CDK5/ZDHHC2/CALB1/NTRK2/CDKL5/GRIA3",40
"GO:0007411","axon guidance","24/366","198/12787",0.121212121212121,4.2348070872661,7.87435474520097,2.28074177766256e-09,1.0060922166714e-06,8.87088512469808e-07,"CNTN2/CNTN5/NCAM1/LRTM2/CNTN1/NELL2/NRXN3/NTN1/NRXN1/EPHA4/DSCAM/CHL1/CNTN4/ROBO2/ALCAM/SLIT2/EPHA5/SLIT3/UNC5A/ETV1/SEMA3C/SEMA3E/RELN/CDK5",24
"GO:0097485","neuron projection guidance","24/366","198/12787",0.121212121212121,4.2348070872661,7.87435474520097,2.28074177766256e-09,1.0060922166714e-06,8.87088512469808e-07,"CNTN2/CNTN5/NCAM1/LRTM2/CNTN1/NELL2/NRXN3/NTN1/NRXN1/EPHA4/DSCAM/CHL1/CNTN4/ROBO2/ALCAM/SLIT2/EPHA5/SLIT3/UNC5A/ETV1/SEMA3C/SEMA3E/RELN/CDK5",24
"GO:0060078","regulation of postsynaptic membrane potential","18/366","121/12787",0.148760330578512,5.19726324346295,7.96285418907106,9.50300850047315e-09,3.72623522201886e-06,3.28548457630393e-06,"CHRNB2/GRID1/GRM5/NRXN1/NTSR1/GRIK1/GABRG1/GABRA2/GABRA4/PPP3CA/GLRA3/GABRB2/GABRG2/INSYN2B/RELN/CDK5/GLRA2/GRIA3",18
"GO:0051960","regulation of nervous system development","34/366","400/12787",0.085,2.96965846994535,6.87016973125143,1.32977044919786e-08,4.69275991521924e-06,4.1376857345567e-06,"GPR37L1/GRM5/LRTM2/KRAS/PAFAH1B1/NTN1/GFAP/HAPLN4/NRXN1/DLX1/DLX2/EPHA4/SYNDIG1/SS18L1/CHODL/DSCAM/ROBO2/SLITRK3/SLIT2/GSX2/PPP3CA/VCAN/DAAM2/TIAM2/SEMA3C/SEMA3E/ELAPOR2/RELN/LRRN3/CDK5/LINGO2/NTRK2/CDKL5/SLITRK2",34
