"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061564","axon development","48/366","456/12787",0.105263157894737,3.6775956284153,9.99442641065285,3.44084906772619e-15,1.21427563600057e-11,1.07064735202091e-11,"CHRNB2/CNTN2/ANK3/CNTN5/NCAM1/LRTM2/CNTN1/NELL2/ATP8A2/DCLK1/NRXN3/PAFAH1B1/NTN1/CDH2/BCL2/APOE/NRXN1/EPHA4/CHODL/NCAM2/DSCAM/ADARB1/S100B/CHL1/CNTN4/ROBO2/ALCAM/SLITRK3/APOD/SLIT2/EPHA5/SLIT3/UNC5A/UST/TIAM2/ETV1/NEUROD6/COBL/SEMA3C/SEMA3E/RELN/CDK5/NTRK2/CDKL5/XK/PLP1/SLC9A6/SLITRK2",48
"GO:0050808","synapse organization","45/366","443/12787",0.101580135440181,3.5489212892721,9.37259698545148,9.94341814835449e-14,1.1696774215181e-10,1.03132435251003e-10,"NEGR1/CHRNB2/DNM3/CNTN2/ANK3/GRID1/GRM5/CNTN5/KIRREL3/ERC1/LRTM2/PCDH8/SPTB/GPHN/PAFAH1B1/NTN1/CDH2/HAPLN4/APOE/SHISA7/NRXN1/EPHA4/DOCK10/SYNDIG1/DSCAM/CNTN4/CACNA2D2/ROBO2/SLITRK3/GABRG1/GABRA2/GABRA4/GABRB2/GABRG2/DBNL/FZD9/SEMA3E/RELN/LRRN3/CDK5/ZDHHC2/LINGO2/NTRK2/CDKL5/SLITRK2",45
"GO:0050804","modulation of chemical synaptic transmission","40/366","422/12787",0.0947867298578199,3.31157900189055,8.28891178598175,2.32536900509743e-11,1.47202967290624e-08,1.29791344293474e-08,"FBXO2/CHRNB2/GRID1/SORCS3/GRM5/ERC1/KRAS/KCNMB4/SYT1/PCDH8/BAIAP3/CALB2/CNTNAP4/PAFAH1B1/GFAP/CDH2/APOE/SHISA7/NRXN1/EPHA4/PLCB1/GRIK1/S100B/CNTN4/CACNA2D2/PPP3CA/GUCY1A1/GUCY1B1/SV2C/SCGN/AKAP7/PRKN/GRM3/RELN/CDK5/ZDHHC2/CALB1/NTRK2/CDKL5/GRIA3",40
"GO:0099177","regulation of trans-synaptic signaling","40/366","423/12787",0.0945626477541371,3.30375020992391,8.27095551788657,2.50274243055751e-11,1.47202967290624e-08,1.29791344293474e-08,"FBXO2/CHRNB2/GRID1/SORCS3/GRM5/ERC1/KRAS/KCNMB4/SYT1/PCDH8/BAIAP3/CALB2/CNTNAP4/PAFAH1B1/GFAP/CDH2/APOE/SHISA7/NRXN1/EPHA4/PLCB1/GRIK1/S100B/CNTN4/CACNA2D2/PPP3CA/GUCY1A1/GUCY1B1/SV2C/SCGN/AKAP7/PRKN/GRM3/RELN/CDK5/ZDHHC2/CALB1/NTRK2/CDKL5/GRIA3",40
"GO:0060078","regulation of postsynaptic membrane potential","18/366","121/12787",0.148760330578512,5.19726324346295,7.96285418907106,9.50300850047315e-09,3.72623522201886e-06,3.28548457630393e-06,"CHRNB2/GRID1/GRM5/NRXN1/NTSR1/GRIK1/GABRG1/GABRA2/GABRA4/PPP3CA/GLRA3/GABRB2/GABRG2/INSYN2B/RELN/CDK5/GLRA2/GRIA3",18
"GO:0051960","regulation of nervous system development","34/366","400/12787",0.085,2.96965846994535,6.87016973125143,1.32977044919786e-08,4.69275991521924e-06,4.1376857345567e-06,"GPR37L1/GRM5/LRTM2/KRAS/PAFAH1B1/NTN1/GFAP/HAPLN4/NRXN1/DLX1/DLX2/EPHA4/SYNDIG1/SS18L1/CHODL/DSCAM/ROBO2/SLITRK3/SLIT2/GSX2/PPP3CA/VCAN/DAAM2/TIAM2/SEMA3C/SEMA3E/ELAPOR2/RELN/LRRN3/CDK5/LINGO2/NTRK2/CDKL5/SLITRK2",34
"GO:0050890","cognition","24/366","267/12787",0.0898876404494382,3.14041873887149,6.06710935118055,7.21184594524226e-07,0.000141392246337555,0.000124667933416001,"CHRNB2/SORCS3/GRM5/KRAS/TAFA2/NRXN3/PAFAH1B1/APOE/SHISA7/NRXN1/PLCB1/NTSR1/DOP1B/S100B/CHL1/ATP8A1/CAMK4/SGK1/PRKN/FZD9/RELN/CDK5/CALB1/NTRK2",24
"GO:0030534","adult behavior","15/366","119/12787",0.126050420168067,4.40384350461496,6.40351822516382,1.47416606858703e-06,0.00024773009790684,0.000218427814473347,"CHRNB2/KLHL1/NRXN3/PAFAH1B1/TPGS1/NRXN1/EPHA4/NTSR1/CHL1/TRH/CARTPT/GABRG2/PRKN/CDK5/PBX3",15
"GO:0060560","developmental growth involved in morphogenesis","20/366","214/12787",0.0934579439252336,3.26515499719115,5.73607690612821,3.40049574499007e-06,0.000521754325394346,0.000460039607422913,"SYT1/DCLK1/PAFAH1B1/NTN1/APOE/DSCAM/S100B/ALCAM/OSTN/SLIT2/SLIT3/PRKN/COBL/MAGI2/SEMA3C/SEMA3E/CDK5/SH3GL2/CDKL5/SLC9A6",20
"GO:0019935","cyclic-nucleotide-mediated signaling","11/366","72/12787",0.152777777777778,5.33762143290832,6.33562295966275,5.74413242877498e-06,0.000750779383005441,0.000661974871713795,"PDE4B/EDNRB/ADCYAP1/APOE/PEX5L/EPHA5/GUCY1A1/GUCY1B1/ADCY2/PDE4D/AHR",11
