"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","nuclear division","68/421","370/12787",0.183783783783784,5.58205045901008,16.5023641336293,3.12325512553524e-32,1.20026694474319e-28,1.02541397226783e-28,"CEP85/CDCA8/CDC20/KIF2C/PSRC1/NUF2/ASPM/KIF14/NEK2/MASTL/ZWINT/CDK1/REEP3/MKI67/KIF18A/INCENP/CDCA5/CHEK1/RAD51AP1/RACGAP1/ESPL1/KMT5A/BORA/CCNB1IP1/DLGAP5/BUB1B/KNL1/NUSAP1/CCNB2/PRC1/NDE1/PLK1/SH2B1/KIF22/CDT1/AURKB/SPAG5/TOP2A/KIF18B/BIRC5/SPC24/AKAP8L/NCAPH/BUB1/CDC25B/TPX2/UBE2C/AURKA/BMP7/WNT5A/CENPE/EGF/CENPK/CCNB1/NEUROG1/PTTG1/HSPA1A/HSPA1B/KIFC1/TTK/NCAPG2/REEP4/CDCA2/RAD54B/CKS2/KIF4A/CENPI/FLNA",68
"GO:0140014","mitotic nuclear division","57/421","257/12787",0.221789883268482,6.7364067395584,17.1405494919499,1.48913320982772e-31,2.86136946268396e-28,2.44452972708034e-28,"CEP85/CDCA8/CDC20/KIF2C/PSRC1/NUF2/KIF14/NEK2/ZWINT/CDK1/REEP3/MKI67/KIF18A/INCENP/CDCA5/CHEK1/RACGAP1/ESPL1/KMT5A/BORA/DLGAP5/BUB1B/KNL1/NUSAP1/PRC1/NDE1/PLK1/SH2B1/KIF22/CDT1/AURKB/SPAG5/KIF18B/BIRC5/SPC24/AKAP8L/NCAPH/BUB1/TPX2/UBE2C/AURKA/BMP7/CENPE/EGF/CENPK/CCNB1/NEUROG1/HSPA1A/HSPA1B/KIFC1/TTK/NCAPG2/REEP4/CDCA2/KIF4A/CENPI/FLNA",57
"GO:0048285","organelle fission","70/421","414/12787",0.169082125603865,5.13551814749791,15.7828842668066,8.25449136829897e-31,1.0574003442791e-27,9.03359950095596e-28,"CEP85/CDCA8/CDC20/KIF2C/PSRC1/NUF2/ASPM/KIF14/NEK2/MASTL/ZWINT/CDK1/REEP3/MKI67/KIF18A/INCENP/CDCA5/CHEK1/RAD51AP1/RACGAP1/ESPL1/KMT5A/BORA/CCNB1IP1/DLGAP5/INF2/BUB1B/KNL1/NUSAP1/CCNB2/PRC1/NDE1/PLK1/SH2B1/KIF22/CDT1/AURKB/SPAG5/TOP2A/KIF18B/MAPT/BIRC5/SPC24/AKAP8L/NCAPH/BUB1/CDC25B/TPX2/UBE2C/AURKA/BMP7/WNT5A/CENPE/EGF/CENPK/CCNB1/NEUROG1/PTTG1/HSPA1A/HSPA1B/KIFC1/TTK/NCAPG2/REEP4/CDCA2/RAD54B/CKS2/KIF4A/CENPI/FLNA",70
"GO:0098813","nuclear chromosome segregation","55/421","283/12787",0.19434628975265,5.90286462486256,15.3890713797007,2.27302546993985e-27,2.18380922024471e-24,1.86567537914274e-24,"RCC2/CDCA8/CDC20/KIF2C/PSRC1/NUF2/ASPM/KIF14/NEK2/ZWINT/CDK1/KIF18A/INCENP/CDCA5/RACGAP1/ESPL1/KMT5A/CCNB1IP1/DLGAP5/BUB1B/KNL1/NUSAP1/CCNB2/PRC1/PLK1/KIF22/CDT1/AURKB/SPAG5/TOP2A/KIF18B/BIRC5/SPC24/AKAP8L/NCAPH/BUB1/TPX2/FAM83D/UBE2C/AURKA/ECT2/TACC3/CENPE/CENPK/CCNB1/PTTG1/HSPA1A/HSPA1B/KIFC1/TTK/NCAPG2/GEM/KIF4A/CENPI/FLNA",55
"GO:0007059","chromosome segregation","63/421","385/12787",0.163636363636364,4.97011444612395,14.5942339701608,6.73244823872371e-27,5.17455971628304e-24,4.42073811717458e-24,"RCC2/CEP85/CDCA8/CDC20/KIF2C/PSRC1/NUF2/ASPM/KIF14/NEK2/ZWINT/CDK1/MKI67/KIF18A/INCENP/CDCA5/RACGAP1/ESPL1/KMT5A/CCNB1IP1/DLGAP5/BUB1B/KNL1/OIP5/NUSAP1/CCNB2/PRC1/NDE1/PLK1/KIF22/CENPN/CDT1/AURKB/SPAG5/TOP2A/KIF18B/BIRC5/SPC24/AKAP8L/NCAPH/BUB1/SGO2/HJURP/TPX2/FAM83D/UBE2C/AURKA/ECT2/TACC3/CENPE/CENPK/CCNB1/PTTG1/HSPA1A/HSPA1B/KIFC1/TTK/NCAPG2/CDCA2/GEM/KIF4A/CENPI/FLNA",63
"GO:0000070","mitotic sister chromatid segregation","44/421","184/12787",0.239130434782609,7.26308995146132,15.7889907175155,6.21183426247036e-26,3.97867984511227e-23,3.3990721166044e-23,"CDCA8/CDC20/KIF2C/PSRC1/NUF2/KIF14/NEK2/ZWINT/CDK1/KIF18A/INCENP/CDCA5/RACGAP1/ESPL1/KMT5A/DLGAP5/BUB1B/KNL1/NUSAP1/PRC1/PLK1/KIF22/CDT1/AURKB/SPAG5/KIF18B/BIRC5/SPC24/AKAP8L/NCAPH/BUB1/TPX2/UBE2C/CENPE/CENPK/CCNB1/HSPA1A/HSPA1B/KIFC1/TTK/NCAPG2/KIF4A/CENPI/FLNA",44
"GO:0000819","sister chromatid segregation","46/421","224/12787",0.205357142857143,6.23729640312182,14.5907716113315,4.70672999046464e-24,2.58399476476509e-21,2.20756253236981e-21,"CDCA8/CDC20/KIF2C/PSRC1/NUF2/KIF14/NEK2/ZWINT/CDK1/KIF18A/INCENP/CDCA5/RACGAP1/ESPL1/KMT5A/DLGAP5/BUB1B/KNL1/NUSAP1/PRC1/PLK1/KIF22/CDT1/AURKB/SPAG5/TOP2A/KIF18B/BIRC5/SPC24/AKAP8L/NCAPH/BUB1/TPX2/UBE2C/TACC3/CENPE/CENPK/CCNB1/HSPA1A/HSPA1B/KIFC1/TTK/NCAPG2/KIF4A/CENPI/FLNA",46
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","34/421","158/12787",0.215189873417722,6.53594515770168,12.9190214060163,1.05527069944323e-18,5.0692566224504e-16,4.33077540995187e-16,"CDCA8/CDC20/PSRC1/NUF2/NEK2/ITGB1/CDK1/PAX6/INCENP/RACGAP1/ESPL1/BORA/DLGAP5/NUSAP1/PRC1/PKD1/NDE1/PLK1/AURKB/BIRC5/CENPA/TPX2/AURKA/TACC3/CENPE/SPRY1/CCNB1/HSPA1A/HSPA1B/KIFC1/TTK/SAPCD2/KIF4A/FLNA",34
"GO:0051783","regulation of nuclear division","29/421","118/12787",0.245762711864407,7.46453158339708,13.016693359028,8.55116627903882e-18,3.65134800114957e-15,3.11942545313708e-15,"CDCA8/CDC20/NUF2/NEK2/ZWINT/MKI67/INCENP/CHEK1/RAD51AP1/ESPL1/BORA/DLGAP5/BUB1B/KNL1/NUSAP1/PLK1/SH2B1/AURKB/BIRC5/SPC24/BUB1/UBE2C/AURKA/BMP7/WNT5A/EGF/CCNB1/TTK/CDCA2",29
"GO:0007088","regulation of mitotic nuclear division","27/421","101/12787",0.267326732673267,8.11949389713318,13.25382501041,1.14811101595238e-17,4.412190634305e-15,3.7694297460584e-15,"CDCA8/CDC20/NUF2/NEK2/ZWINT/MKI67/INCENP/CHEK1/ESPL1/BORA/DLGAP5/BUB1B/KNL1/NUSAP1/PLK1/SH2B1/AURKB/BIRC5/SPC24/BUB1/UBE2C/AURKA/BMP7/EGF/CCNB1/TTK/CDCA2",27
