"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","nuclear division","68/421","370/12787",0.183783783783784,5.58205045901008,16.5023641336293,3.12325512553524e-32,1.20026694474319e-28,1.02541397226783e-28,"CEP85/CDCA8/CDC20/KIF2C/PSRC1/NUF2/ASPM/KIF14/NEK2/MASTL/ZWINT/CDK1/REEP3/MKI67/KIF18A/INCENP/CDCA5/CHEK1/RAD51AP1/RACGAP1/ESPL1/KMT5A/BORA/CCNB1IP1/DLGAP5/BUB1B/KNL1/NUSAP1/CCNB2/PRC1/NDE1/PLK1/SH2B1/KIF22/CDT1/AURKB/SPAG5/TOP2A/KIF18B/BIRC5/SPC24/AKAP8L/NCAPH/BUB1/CDC25B/TPX2/UBE2C/AURKA/BMP7/WNT5A/CENPE/EGF/CENPK/CCNB1/NEUROG1/PTTG1/HSPA1A/HSPA1B/KIFC1/TTK/NCAPG2/REEP4/CDCA2/RAD54B/CKS2/KIF4A/CENPI/FLNA",68
"GO:0050000","chromosome localization","27/421","110/12787",0.245454545454545,7.45517166918592,12.5455489907496,1.23471533754891e-16,4.31364640200043e-14,3.6852412802058e-14,"RCC2/CDCA8/KIF2C/PSRC1/NUF2/KIF14/NEK2/ZWINT/KIF18A/INCENP/CDCA5/RACGAP1/DLGAP5/KNL1/NDE1/KIF22/CDT1/AURKB/SPAG5/BIRC5/SPC24/FAM83D/ECT2/CENPE/CCNB1/KIFC1/GEM",27
"GO:0061351","neural precursor cell proliferation","24/421","146/12787",0.164383561643836,4.99280903263593,8.95278238924807,6.51655534733891e-11,7.73678466974942e-09,6.60970222960364e-09,"DMRTA2/ASPM/KIF14/ITGB1/EMX2/PAX6/MDK/RACGAP1/NDE1/SHCBP1/ATF5/INSM1/WNT5A/EGF/CTNNA1/POU3F2/PTN/FZD3/FGFR1/LYN/FZD6/MELK/AKNA/FLNA",24
"GO:0140694","non-membrane-bounded organelle assembly","31/421","358/12787",0.0865921787709497,2.63005745829961,5.77191742664253,8.80354491149416e-07,4.02762179700858e-05,3.44088428307648e-05,"CEP85/CDCA8/CDC20/ASPM/NEK2/ITGB1/INCENP/RBM14/RACGAP1/DLGAP5/CCNB2/PRC1/PLK1/ATXN2L/AURKB/SPAG5/MAPT/JMJD6/BIRC5/PLA2G4C/CENPA/TPX2/AURKA/FXR1/CENPE/CENPK/HSPA1A/HSPA1B/KIFC1/KIF4A/FLNA",31
"GO:0042472","inner ear morphogenesis","12/421","65/12787",0.184615384615385,5.60730860588343,6.87100180525192,1.14945979164621e-06,5.07744135551309e-05,4.33776780416761e-05,"COL11A1/COL2A1/LRIG3/FGF9/WNT5A/NEUROG1/PTK7/MYO6/INSIG1/FZD3/FGFR1/FZD6",12
"GO:0034508","centromere complex assembly","8/421","28/12787",0.285714285714286,8.6779776043434,7.50431947895778,2.24944941004474e-06,9.60514898089102e-05,8.2058862104439e-05,"DLGAP5/OIP5/CENPN/CENPA/HJURP/CENPE/CENPK/CENPI",8
"GO:0034605","cellular response to heat","10/421","54/12787",0.185185185185185,5.62461511392628,6.28348932282586,8.79304109811398e-06,0.000334570860792594,0.000285831111881371,"HSPA6/CHORDC1/TRPV1/MAPT/DNAJB1/HSPA1A/HSPA1B/TCIM/LYN/IRAK1",10
"GO:0001525","angiogenesis","29/421","392/12787",0.0739795918367347,2.24697634398177,4.62670446608563,4.08027210665209e-05,0.00128528571359541,0.00109804734259257,"EPHA2/RBM15/NOTCH2/SHC1/ITGB1/FZD8/MDK/MCAM/SP1/ITGA5/E2F7/FGF9/RHOJ/PML/ANPEP/NGFR/JMJD6/PTPRM/ROCK1/PXDN/WNT5A/EGF/OTULIN/HSPB1/CALD1/FGFR1/SFRP1/SAT1/FLNA",29
"GO:0071459","protein localization to chromosome, centromeric region","7/421","30/12787",0.233333333333333,7.08701504354711,6.158635507205,4.21078802834081e-05,0.00131561450348892,0.00112395788278947,"RCC2/CDK1/BUB1B/KNL1/AURKB/CENPA/TTK",7
"GO:0045859","regulation of protein kinase activity","28/421","373/12787",0.0750670241286863,2.28000483974706,4.62917857039661,4.28179150742587e-05,0.00132701006153529,0.00113369335413084,"CEP85/PSRC1/JTB/KIF14/DUSP16/BORA/CDKN3/CCNB2/IQGAP1/PLK1/TPX2/WNT5A/HEG1/ECT2/CENPE/EGF/CCNA2/SPRY1/CCNB1/CCNG1/HSPB1/EZH2/NRG1/FGFR1/ADAM9/TCIM/LYN/IRAK1",28
