"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","157/2850","499/18888",0.314629258517034,2.085164012235,10.3560804284304,7.76160640507416e-21,4.54597287145193e-17,4.20842469395126e-17,"NOC2L/MRTO4/ZNF593/YTHDF2/SNIP1/SF3A3/UTP11/EBNA1BP2/ERI3/RPF1/PTBP2/DDX20/WDR3/CELF3/SNRPE/UTP25/RRP15/URB2/RBM34/GTPBP4/RPP30/EXOSC1/NPM3/NOLC1/PDCD11/METTL15/EIF3M/NAT10/CLP1/PRPF19/CLNS1A/DDX10/RPUSD4/WBP11/STRAP/PA2G4/CPSF6/KRR1/SART3/DDX54/RAN/DDX51/NUFIP1/DIS3/CINP/NOP10/RPUSD2/RSL24D1/CELF6/IMP3/RAMAC/NGRN/SNRPA1/TBL3/RRN3/HEATR3/TENT4B/NUDT21/EXOSC6/TSR1/MYBBP1A/UTP6/NLE1/ZNHIT3/UTP18/COIL/DDX42/EIF4A3/SNRPD1/TXNL4A/RBFA/MPV17L2/LSM4/DDX49/POP4/EXOSC5/RUVBL2/DDX1/C1D/GCFC2/NIFK/POLR2D/IMP4/PRKRA/WDR12/FASTKD2/XRCC5/SNRPB/SNRPB2/CRNKL1/EIF6/USP16/SNRPD3/EIF3L/SNU13/EXOSC7/DHX30/RRP9/ATR/EIF2A/LSG1/NOA1/SDAD1/EXOSC9/ABCE1/LSM6/NAF1/TMA16/FRG1/ZNF622/DROSHA/BRIX1/DHX29/MTREX/TAF9/UTP15/WDR36/SRFBP1/GEMIN5/FBLL1/RPL26L1/NHP2/RPP40/RIOK1/PAK1IP1/ABT1/WDR46/RPL10A/SRPK1/BYSL/RPL7L1/RRP36/HSP90AB1/SRSF12/RPF2/SF3B5/TFB1M/MALSU1/BUD23/GTPBP10/POP7/SRPK2/MAK16/PRKDC/TGS1/UTP23/EXOSC4/PSIP1/NOL6/NCBP1/EXOSC2/TSC1/GEMIN8/TSR2/CUL4B/MCTS1/UTP14A",157
"GO:0034470","ncRNA processing","141/2850","433/18888",0.325635103926097,2.15810380454601,10.2769259522902,2.48907301682917e-20,6.74292486487658e-17,6.24224831806822e-17,"MRTO4/YTHDF2/SNIP1/YRDC/UTP11/EBNA1BP2/ERI3/TOE1/TYW3/RPF1/WDR3/TDRKH/INTS3/TDRD5/TSEN15/UTP25/RRP15/TSNAX/TARBP1/RBM34/GTPBP4/ANKRD16/RPP30/EXOSC1/NPM3/NOLC1/PDCD11/TRUB1/METTL15/NAT10/CLP1/ALKBH8/DDX10/RPUSD4/WBP11/PA2G4/METTL1/KRR1/DDX54/PUS1/DDX51/DIS3/OSGEP/TRMT5/NOP10/RPUSD2/MTFMT/IMP3/TBL3/PARN/THUMPD1/TENT4B/EXOSC6/ADAT1/TSR1/ELAC2/UTP6/ZNHIT3/UTP18/INTS2/METTL2A/EIF4A3/ELP2/RBFA/GTPBP3/DDX49/POP4/EXOSC5/DDX1/PUS10/C1D/TPRKB/NIFK/TSN/IMP4/SSB/PRKRA/TYW5/WDR12/TRMT6/CDK5RAP1/EIF6/RTCB/SNU13/MOV10L1/THUMPD3/TSEN2/METTL6/EXOSC7/ELP6/RRP9/RPP14/TRMT10C/QTRT2/TRMT44/GRSF1/EXOSC9/LSM6/NAF1/FRG1/DROSHA/BRIX1/NUP155/MTREX/UTP15/WDR36/SRFBP1/FBLL1/NHP2/RPP40/FARS2/RIOK1/ABT1/WDR46/RPL10A/BYSL/RPL7L1/RRP36/LIN28B/RPF2/TFB1M/TYW1/BUD23/POP7/TRMT9B/INTS10/ELP3/MAK16/PRKDC/POP1/UTP23/TRMT12/EXOSC4/NOL6/NCBP1/ELP1/EXOSC2/TSR2/UTP14A/INTS6L/LAGE3",141
"GO:0140053","mitochondrial gene expression","74/2850","164/18888",0.451219512195122,2.99039794608472,10.7917366378769,3.45377746194805e-20,6.74292486487658e-17,6.24224831806822e-17,"MRPL37/MRPS21/MRPL55/MTPAP/TFAM/SUPV3L1/MRPS16/CHCHD1/MRPL17/MRPL11/MRPL21/RPUSD4/MRPS35/YARS2/TSFM/MTERF2/PUS1/MRPL57/TRMT5/MRPL46/MRPS11/NGRN/MRPL28/EARS2/ELAC2/COA3/MRPS23/TACO1/MRPL58/MRPL54/NDUFA7/MPV17L2/MRPS12/LRPPRC/PTCD3/MRPL35/MRPL30/MRPS9/FASTKD2/MRPL44/MRPS26/CDK5RAP1/MRPL39/MRPS25/TRMT10C/MRPL3/MRPS22/GFM1/MRPL47/MRPL1/MRPS18C/GATB/PRKAA1/MRPS30/MRPS27/GFM2/UQCC2/MRPS10/MRPL2/MRPS18A/MRPL14/RARS2/QRSL1/RMND1/TFB1M/MALSU1/TBRG4/MRPS17/MTERF1/MRPS33/MRPL15/MRPS28/MRPL13/MRPL50",74
"GO:0032543","mitochondrial translation","63/2850","130/18888",0.484615384615385,3.21172469635628,10.6669017105378,2.33376743721439e-19,3.41721896994117e-16,3.16348317607667e-16,"MRPL37/MRPS21/MRPL55/MRPS16/CHCHD1/MRPL17/MRPL11/MRPL21/RPUSD4/MRPS35/YARS2/TSFM/MRPL57/MRPL46/MRPS11/NGRN/MRPL28/EARS2/COA3/MRPS23/TACO1/MRPL58/MRPL54/NDUFA7/MPV17L2/MRPS12/LRPPRC/PTCD3/MRPL35/MRPL30/MRPS9/FASTKD2/MRPL44/MRPS26/CDK5RAP1/MRPL39/MRPS25/TRMT10C/MRPL3/MRPS22/GFM1/MRPL47/MRPL1/MRPS18C/GATB/MRPS30/MRPS27/GFM2/UQCC2/MRPS10/MRPL2/MRPS18A/MRPL14/RARS2/QRSL1/RMND1/MALSU1/MRPS17/MRPS33/MRPL15/MRPS28/MRPL13/MRPL50",63
"GO:0045333","cellular respiration","93/2850","245/18888",0.379591836734694,2.51569495166488,10.066204802108,1.0854166604127e-18,1.11929301100136e-15,1.03618311865568e-15,"PARK7/SDHB/NDUFS5/UQCRH/ATP5PB/SDHC/COA6/FH/OPN3/ATP5F1C/CISD1/GHITM/COX15/NDUFB8/BNIP3/SLC25A22/NDUFS3/COX8A/ARL2/NDUFV1/NDUFC2/ME3/NDUFA9/CS/ATP5F1B/NDUFA12/SUCLA2/OXA1L/NDUFB1/NDUFAF1/COX5A/ETFA/TRAP1/UQCRC2/NDUFAB1/COX4I1/MYBBP1A/COX10/NOS2/NDUFV2/ATP5F1A/UQCR11/SLC25A23/NDUFA7/NDUFA13/UQCRFS1/COX6B1/COX7A2L/MSH2/MDH1/COX5B/MTLN/COQ10B/C2orf69/NDUFB3/MDH1B/NDUFA10/IDH3B/ATP5F1E/ATP5PF/ATP5PO/BID/UQCR10/ADSL/NDUFB5/NDUFC1/ETFDH/SDHA/NDUFS6/NDUFS4/COX7C/UQCRQ/NDUFA2/PRELID1/UQCC2/SDHAF4/COX7A2/CHCHD2/MDH2/ATP5MF/IMMP2L/NDUFB2/UQCRB/COX6C/CYC1/NDUFB6/VCP/STOML2/PDHA1/NDUFB11/COX7B/NDUFA1/IDH3G",93
"GO:0019693","ribose phosphate metabolic process","136/2850","480/18888",0.283333333333333,1.87775438596491,8.21143651693039,4.03546948652883e-14,1.57571631883996e-11,1.45871602281474e-11,"ACOT7/NPPA/SDHB/ATP5IF1/NDUFS5/PPT1/PRKAA2/AK5/ATP5PB/MAGI3/SDHC/UCK2/MPC2/BPNT1/GUK1/ATP5F1C/PARG/ADK/PGAM1/ENTPD7/NDUFB8/ELOVL3/RPEL1/PDHX/HSD17B12/NDUFS3/ARL2/NDUFV1/DGAT2/NDUFC2/HSPA8/NDUFA9/GAPDH/TPI1/ENO2/DNM1L/PFKM/PRKAG1/ATP5F1B/NUDT4/NDUFA12/IGF1/RAN/SUCLA2/RNASEH2B/GMPR2/MTHFD1/ACOT4/ENTPD5/NDUFB1/SLC27A2/PKM/ADPGK/ATP6V0C/NDUFAB1/SULT1A1/ALDOA/APRT/ACACA/ATP5MC1/NME1/NME2/COX11/NDUFV2/ATP5F1A/NDUFA7/GCDH/PRKACA/PDE4C/NDUFA13/GAPDHS/MCEE/CACNB4/OLA1/ATP5MC3/PDE1A/NDUFB3/RPE/ACSL3/NDUFA10/EIF6/ACOT8/ATP5F1E/ATP5PF/GART/ATP5PO/ADSL/ATP6V1A/MFN1/NDUFB5/OPA1/DCK/NUDT9/NDUFC1/AADAT/SDHA/NDUFS6/PRKAA1/HMGCS1/NDUFS4/MCCC2/HMGCR/HINT1/PPP2CA/NDUFA2/PDE10A/ADCY1/UPP1/FIGNL1/TPST1/CROT/ATP5MF/FIS1/BPGM/NDUFB2/PRKAG2/NUDT18/ENTPD4/PDE7A/NDUFB6/NUDT2/VCP/STOML2/GDA/PRPS2/CTPS2/PDHA1/PDK3/NDUFB11/NUDT10/NUDT11/UPRT/PRPS1/ACSL4/NDUFA1/MPP1",136
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","116/2850","389/18888",0.298200514138817,1.97628467054526,8.20173929047842,7.01812515919182e-14,2.56907244108666e-11,2.37831333519718e-11,"PARK7/PSMB2/FAF1/ZYG11B/GLMN/PSMA5/TRIM45/PSMD4/PSMB4/UCHL5/RNF187/CUL2/FBXL15/PSMD13/TRIM3/PSMA1/PSMC3/DDB1/CUL5/FBXL14/USP5/KLHL42/AMN1/WNT10B/UBE2N/USP44/ANAPC7/FBXW8/RNF34/NHLRC3/KBTBD6/SIAH3/PSMB5/PSMA6/KLHDC2/PSMC6/PSMA3/PSMC1/PPP2R5C/BAG5/UBE3A/FBXL22/FEM1B/PSMA4/FBXL16/KCTD13/SIAH1/PSMD7/PSMB3/CDC27/APPBP2/PSMD12/USP14/NEDD4L/GIPC1/DDA1/PSMD8/DMAC2/HSPBP1/COMMD1/ANAPC1/PSMD14/UBR3/SUMO1/TRIP12/PSMD1/PSMF1/TRPC4AP/USP25/KCTD17/VHL/FBXL2/PSMD6/PCNP/GSK3B/ANAPC13/ARMC8/TBL1XR1/FBXO45/ANAPC4/UCHL1/CLOCK/RCHY1/BBS7/FBXW7/FBXO4/ERCC8/TAF9/PJA2/SKP1/CDC23/FBXO38/CSNK1A1/RMND5B/MAPK9/KLHDC3/HSP90AB1/UBE3D/AKIRIN2/PSMB1/ZFAND2A/ZNRF2/PSMA2/SMURF1/PSMC2/CUL1/CCAR2/UBE2W/PHF20L1/IL33/PLAA/VCP/RAD23B/PSMB7/PSMD10/UBE2A",116
"GO:0072594","establishment of protein localization to organelle","129/2850","454/18888",0.284140969162996,1.88310688615813,8.02897714556276,1.47163084251902e-13,4.6316938207736e-11,4.28778068003286e-11,"PEX14/ATP5IF1/KPNA6/EFCAB7/LRRC7/HAX1/MTX1/PEX19/TIMM17A/SRP9/NUP133/TOMM20/SEC61A2/STAM/TIMM23/TIMM10B/CRY2/TIMM10/HIKESHI/TIMM8B/VPS11/SORL1/HSPA8/PHB2/CCT2/RAN/NUP58/UFM1/SIAH3/VPS36/IPO5/OXA1L/SRP54/ATG14/TIMM9/MOAP1/CHP1/PAM16/NAGPA/CACNG3/LONP2/HEATR3/NUP93/ACD/NF1/VPS25/BECN1/WBP2/PIK3C3/TIMM13/UBL5/NDUFA13/TIMM50/TOMM40/SAE1/RUVBL2/PEX13/CCT4/CCT7/RGPD3/RGPD4/GCC2/RANBP2/RGPD5/RGPD6/RGPD8/RAB3GAP1/ATF2/NUP35/MAIP1/SUMO1/LAMP5/CHMP4B/ROMO1/CSE1L/CCT8/BID/PEX26/TOMM22/HACL1/MON1A/APPL1/TOMM70/SRPRB/SSR3/DNAJC19/PARL/GRPEL1/COX18/NUP54/TRAM1L1/ZNF827/FBXW7/SPCS3/CCT5/NUP155/PRKAA1/IPO11/SGTB/RANBP17/NEURL1B/E2F3/MAPK14/MTCH1/AKIRIN2/PEX7/PEX3/ZFAND2A/VPS41/SEC61G/CCT6A/PEX1/SMURF1/FIS1/PMPCB/IMMP2L/POT1/TNPO3/BAG4/TERF1/GDAP1/SNX16/KCNQ3/RANBP6/IL33/VPS13A/PMPCA/TIMM8A/BCAP31",129
"GO:0048193","Golgi vesicle transport","92/2850","294/18888",0.312925170068027,2.07387039026137,7.82290282016771,1.36362049517389e-12,3.19469009609338e-10,2.95747754553292e-10,"RER1/PEF1/TRAPPC3/EPS15/BLZF1/STX6/KLHL12/EXOC8/CNST/SAR1A/EXOC6/GBF1/ARL3/SEC23IP/VPS51/RAB6A/UVRAG/ZW10/ARCN1/HYOU1/SORL1/ERGIC2/COPZ1/MON2/TMED2/COG6/COG3/SCFD1/SEC23A/TRAPPC6B/VTI1B/AP1G1/GABARAPL2/TRAPPC2L/SPIRE2/TRAPPC1/VAMP2/GOSR2/COG1/VAPA/NAPG/MPPE1/TRAPPC8/IER3IP1/ATP9B/TRAPPC5/YIF1B/TRAPPC6A/NAPA/AP2A1/TRAPPC2B/NRBP1/PREPL/COMMD1/RAB1A/GCC2/RAB6C/RAB6D/MYO1B/ACSL3/ARFGEF2/PITPNB/RBSN/ARF4/SEC22A/COPG1/ATP2C1/RAB6B/PRKCI/HTT/STX18/EXOC1/USO1/SEC31A/SEC24D/TRAPPC11/PDCD6/TRAPPC13/AP3S1/YIPF5/BNIP1/DOP1A/GOPC/TMED4/RINT1/ARF5/VCP/VPS13A/RAB14/TRAPPC2/SNX12/BCAP31",92
"GO:0046034","ATP metabolic process","69/2850","220/18888",0.313636363636364,2.07858373205742,6.78336405215339,7.60912456662367e-10,1.06111053777893e-07,9.82320818112244e-08,"SDHB/ATP5IF1/NDUFS5/PRKAA2/AK5/ATP5PB/SDHC/ATP5F1C/PARG/PGAM1/NDUFB8/NDUFS3/ARL2/NDUFV1/NDUFC2/HSPA8/NDUFA9/GAPDH/TPI1/ENO2/DNM1L/PFKM/PRKAG1/ATP5F1B/NDUFA12/IGF1/NDUFB1/PKM/ADPGK/ATP6V0C/NDUFAB1/ALDOA/ATP5MC1/COX11/NDUFV2/ATP5F1A/NDUFA7/PRKACA/NDUFA13/GAPDHS/OLA1/ATP5MC3/NDUFB3/NDUFA10/EIF6/ATP5F1E/ATP5PF/ATP5PO/ATP6V1A/NDUFB5/NDUFC1/SDHA/NDUFS6/PRKAA1/NDUFS4/PPP2CA/NDUFA2/FIGNL1/ATP5MF/FIS1/BPGM/NDUFB2/PRKAG2/NDUFB6/NUDT2/VCP/STOML2/NDUFB11/NDUFA1",69
