"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008360","regulation of cell shape","51/2265","140/18888",0.364285714285714,3.03780510879849,8.93326223808443,6.21930365940799e-14,2.03343749566071e-10,1.56172765702099e-10,"PDPN/ZMPSTE24/PLEKHO1/CDC42SE1/RHOU/FAM171A1/BAMBI/DNMBP/RHOG/PARVA/MARK2/CDC42EP2/ARAP1/RDX/EPS8/FMNL3/WASF3/SYNE3/CYFIP1/ATP10A/C15orf62/FES/CFDP1/CDC42EP4/MYL12A/PALM/PALM3/ARHGAP35/MYH14/RHOQ/FMNL2/ERMN/FN1/NF2/MYH9/PLXNB2/FGD5/PLXNB1/DAG1/PLXND1/DIAPH1/CSF1R/BVES/FYN/EZR/GNA12/RAC1/ANXA1/SEMA4D/LPAR1/PLXNB3",51
"GO:0022604","regulation of cell morphogenesis","73/2265","246/18888",0.296747967479675,2.47460291821461,8.59324673368112,6.73769879277902e-14,2.03343749566071e-10,1.56172765702099e-10,"PDPN/MUL1/MACF1/MFSD2A/ZMPSTE24/PLEKHO1/CDC42SE1/RHOU/FAM171A1/BAMBI/DNMBP/RHOG/PARVA/CD44/MARK2/CDC42EP2/CORO1B/ARAP1/FZD4/RDX/BCL9L/EPS8/FMNL3/CORO1C/WASF3/SYNE3/CYFIP1/ATP10A/C15orf62/PARP6/ARPIN/FES/EEF2K/CFDP1/SPAG9/CDC42EP4/MYL12A/PALM/PALM3/ARHGAP35/MYH14/CACNG7/ZNF135/RHOQ/CXCR4/FMNL2/ERMN/FN1/NF2/MYH9/PLXNB2/FGD5/PLXNB1/DAG1/PLXND1/DIAPH1/CSF1R/SPARC/RREB1/BVES/FYN/EZR/GNA12/RAC1/CUX1/KANK1/ANXA1/SEMA4D/LPAR1/HDAC6/ZMYM3/PLXNB3/MECP2",73
"GO:0001667","ameboidal-type cell migration","118/2265","498/18888",0.236947791164659,1.97592489161946,8.14706333979193,1.36201368166955e-13,2.74037152751914e-10,2.10466956283253e-10,"TMEM201/PIK3CD/PHACTR4/ZC3H12A/MACF1/PIK3R3/PLPP3/TGFBR3/RAB13/GLUL/ATP2B4/TGFB2/DUSP10/VSTM4/SIRT1/MMRN2/NANOS1/DOCK1/ILK/MTA2/CORO1B/PRCP/ETS1/DCN/CORO1C/PTPN11/PXN/P2RX4/STARD13/ARF6/SYNJ2BP/VASH1/AKT1/DLL4/CTSH/SEMA4B/PDPK1/CLN3/PFN1/TNFSF12/MAP2K3/RFFL/JUP/STAT5A/HDAC5/GRN/SOX9/ITGB4/TBXA2R/PKN1/SYDE1/TGFB1/ZNF580/ATOH8/SEMA4C/MAP4K4/ACVR1/NRP2/FN1/TNS1/RIN2/PLCG1/PPM1F/PATZ1/MYH9/SOX10/PPARG/TGFBR2/RHOA/SEMA3F/HYAL1/HYAL2/ADAMTS9/PLXND1/AMOTL2/FGF2/VEGFC/ITGA2/MCC/SPARC/FGF18/FLT4/RREB1/PPARD/NR2E1/GJA1/SASH1/AKAP12/GNA12/RADIL/RAC1/AQP1/ANLN/EPHB4/PAXIP1/LOXL2/STC1/DOCK5/ADGRA2/SNAI2/PLEC/KANK1/TESK1/GLIPR2/ANXA1/SEMA4D/TGFBR1/KLF4/DAB2IP/CRB2/ABL1/NOTCH1/PRKX/HDAC6/AMOT/GPC3/ARHGAP4/MECP2",118
"GO:0032868","response to insulin","74/2265","269/18888",0.275092936802974,2.29402003988281,7.89041520532578,2.98002165157594e-12,4.49685267222809e-09,3.45368825093169e-09,"ALPL/WDTC1/SRSF4/SLC2A1/PIK3R3/BCAR3/RAB13/PARP1/PRKCQ/ECHDC3/SIRT1/EIF4EBP2/SORBS1/CTSD/KCNQ1/ADM/RELA/INPPL1/SESN3/SIK2/TNS2/CRY1/PTPN11/RB1/SOS2/ZFP36L1/AKT1/CYFIP1/ZNF592/IGF1R/TSC2/PDPK1/EEF2K/MAPK3/HSD11B2/ZDHHC7/MYO1C/INPP5K/SREBF1/HDAC5/COL1A1/STXBP4/RAB31/INSR/RAB8A/PIK3R2/NCOA1/HADHA/CAD/SOS1/RHOQ/INHBB/CFLAR/NCL/PPARG/RAF1/KAT2B/SMARCC1/GNAI2/KLF15/SGCB/GAB1/ZBED3/GCLC/KBTBD2/GCK/SH2B2/OPRK1/GPT/KANK1/DNAI1/SLC2A8/FOXO4/IRS4",74
"GO:0007264","small GTPase-mediated signal transduction","114/2265","500/18888",0.228,1.90130860927152,7.53966699843838,5.1970231524621e-12,6.27384634965224e-09,4.81846104493538e-09,"PDPN/ARHGEF19/ARHGEF10L/PHACTR4/DOCK7/BCAR3/ARHGAP29/VAV3/CSF1/RAP1A/RHOC/CDC42SE1/TGFB2/ITPKB/RHOU/ARHGAP22/DNMBP/DOCK1/EPS8L2/RHOG/SWAP70/CDC42EP2/SIPA1/ARAP1/ARHGEF17/ARHGAP42/RDX/EPS8/RAPGEF3/ARHGAP9/RAP1B/SPATA13/STARD13/RB1/ARHGEF40/ARF6/SOS2/PLEKHG3/SYNJ2BP/CYFIP1/C15orf62/CGNL1/TSC2/ARHGAP17/ADGRG1/PLEKHG4/TAX1BP3/TP53/FLCN/KSR1/GIT1/ERBB2/NKIRAS2/RND2/CDC42EP4/CYTH1/ARHGAP45/SYDE1/RASAL3/RFXANK/GMIP/SIPA1L3/CADM4/ARHGAP35/RASIP1/NUP62/SOS1/RHOQ/RTKN/DOK1/MAP4K4/PSD4/FARP2/RIN2/RALGAPA2/RAF1/FGD5/PLXNB1/RHOA/ARHGAP31/MRAS/BCL6/FGF2/F2RL1/CDKN1A/GNA12/MMD2/RAC1/ADCYAP1R1/LIMK1/SH2B2/RASA4B/RASA4/ARHGEF10/DOCK5/PPP2CB/KANK1/SEMA4D/ABCA1/LPAR1/DAB2IP/MAPKAP1/ABL1/RAPGEF1/RALGDS/VAV2/NOTCH1/RAB9A/WAS/OPHN1/STARD8/LPAR4/AMOT/ARHGAP4",114
"GO:0042063","gliogenesis","87/2265","346/18888",0.251445086705202,2.09681889522643,7.60073472678783,8.2291491693563e-12,7.8307632814794e-09,6.01420974009196e-09,"SKI/HES5/PLPP3/CSF1/BCAN/SOX13/SLC45A3/TGFB2/DUSP10/GJC2/PARD3/ZNF488/ZMIZ1/ILK/SOX6/MYRF/RELA/ERBB3/LRP1/PTPRB/ASCL1/PTPN11/DTX1/P2RX4/WASF3/TRPC4/RB1/PRKCH/PSEN1/AKT1/CSK/CSPG4/MAPK3/ADGRG1/TP53/TMEM98/ERBB2/NR1D1/CNP/STAT3/NAGLU/GRN/SOX9/ITGB4/NCAN/SIRT2/PRX/TGFB1/EIF2B4/SOS1/BIN1/CXCR4/OLIG1/NF2/SOX10/PICK1/SUN2/TSPO/RAF1/MYD88/RHOA/DAG1/KLF15/SOX2/HES1/LEF1/FGF2/VEGFC/CSF1R/SOX4/NR2E1/QKI/DLL1/EGFR/ARHGEF10/CLU/SCRIB/PLEC/NFIB/LPAR1/DAB2IP/ABL1/LAMC3/NOTCH1/ABCA2/MED12/MECP2",87
"GO:0007015","actin filament organization","106/2265","467/18888",0.226980728051392,1.89280882624048,7.21142688927322,3.89035933291998e-11,2.3482208933505e-08,1.80348868443996e-08,"ARHGEF10L/ASAP3/MARCKSL1/S1PR1/RHOC/ENAH/RHOU/FAM171A1/WASHC2C/SORBS1/RHOG/SWAP70/CDC42EP2/CORO1B/PPFIA1/CTTN/INPPL1/ARAP1/FCHSD2/RDX/EPS8/RAPGEF3/CORO1C/SSH1/PXN/HIP1R/WASF3/ANG/ARF6/TGFB3/CYFIP1/TJP1/C15orf62/TMOD3/CGNL1/MYO1E/PSTPIP1/ARPIN/MLST8/ARHGAP17/ELMO3/CARMIL2/COTL1/RFLNB/MYO1C/INPP5K/PFN1/FLII/SSH2/RND2/CDC42EP4/PSTPIP2/CNN2/KANK3/MYO1F/DNM2/PIK3R2/PLEKHG2/VASP/ARHGAP35/KPTN/RHOQ/CAPG/NCK2/BIN1/ERMN/MICAL3/PPM1F/GAS2L1/NF2/TRIOBP/PICK1/RHOA/FAM107A/TF/PAK2/LIMCH1/ARFIP1/FHDC1/FAT1/F2RL1/ZBED3/SHROOM1/DIAPH1/DPYSL3/CARMIL1/LATS1/EZR/MICALL2/RAC1/ELN/LIMK1/HIP1/ARPC1B/ARHGEF10/SORBS3/MTSS1/PLEC/KANK1/TESK1/TGFBR1/LPAR1/ABL1/WAS/HDAC6/SHROOM4",106
"GO:0001701","in utero embryonic development","93/2265","401/18888",0.231920199501247,1.93399943848987,6.97824915609558,1.85867590290483e-10,8.0135483928097e-08,6.15459298976909e-08,"WDTC1/YBX1/NASP/CPT2/SLC30A1/VASH2/CAPN2/ST8SIA6/BMI1/ZMIZ1/BMPR1A/SH3PXD2A/FGFR2/CDKN1C/ADM/C2CD3/YAP1/LATS2/UPF3A/RAD51B/ZFP36L1/TGFB3/VASH1/AKT1/ADAM10/MYO1E/SIN3A/FURIN/ADCY9/PALB2/ARMC5/CNOT1/CMTM3/INPP5K/SOX15/TP53/FLCN/SPECC1/SUPT6H/PCGF2/MED1/NMT1/PLCD3/BPTF/UNK/MBD3/KEAP1/KLF2/ETV2/ZNF568/SMG9/NCOA1/EPAS1/ACVR1/TTLL4/HM13/BCL2L1/PLCG1/ADA/STK4/SMARCB1/MYH9/MFNG/SOX10/MAFF/TGFBR2/PTH1R/SETD2/SLC25A20/ACTL6A/HES1/MSX1/YTHDC1/LEF1/PCDH12/MGAT1/CDKN1A/GJA1/HEY2/LATS1/GNA12/EGFR/ZP3/CHD7/RDH10/STK3/PTCH1/TGFBR1/KLF4/NOTCH1/BCOR/AR/AMOT",93
"GO:1990778","protein localization to cell periphery","84/2265","356/18888",0.235955056179775,1.96764640226207,6.80364163802526,5.78779674276318e-10,2.05500830231285e-07,1.57829454211325e-07,"LDLRAP1/MACF1/GPSM2/RAP1A/RAB13/ATP2B4/RAB29/KIF5B/TSPAN15/SORBS1/CD81/RHOG/DCHS1/EHD1/FRMD8/PPFIA1/NUMA1/RDX/WNK1/TNFRSF1A/KRT18/LRP1/ARF6/PRKCH/AKT1/PACS2/EHD4/ADAM10/CSK/PTPN9/PDPK1/NUBP1/GGA2/CLN3/STX4/CDH1/ZDHHC7/INPP5K/RANGRF/ERBB2/JUP/RHBDF2/MYL12A/RAB31/BSG/PALM/RAB3D/RAB8A/PIK3R2/PLEKHF1/TGFB1/EHD2/CACNG7/RHOQ/TTC7A/ASB3/TMEM150A/C1QL2/LYPD1/GORASP2/BCL2L1/SYS1/CACNG2/GGA1/ZDHHC3/DAG1/ATP1B3/EIF4G1/GAK/GOLPH3/KIF13A/EZR/AFDN/EGFR/CNPY4/CAV1/GOLGA7/IKBKB/SCRIB/PTCH1/SEC16A/ABCA2/AR/GPC4",84
"GO:0071496","cellular response to external stimulus","80/2265","335/18888",0.238805970149254,1.99142038153603,6.75824707278282,8.14465590981051e-10,2.45805715358081e-07,1.88784550667397e-07,"ZC3H12A/MFSD2A/SLC2A1/IFI16/GLUL/PIK3C2B/TLR5/AKR1C3/SIRT1/SIPA1/KAT5/LAMTOR1/SESN3/CASP1/ITFG2/TNFRSF1A/SLC38A2/ZFYVE1/KIF26A/EIF2AK4/FES/IGF1R/NPRL3/WDR24/TSC2/MLST8/MAPK3/WDR59/ASGR1/CD68/TP53/FLCN/SREBF1/MED1/MAP3K14/COL1A1/PPM1D/SOX9/PIEZO2/RNF152/CNN2/PLIN3/ARHGAP35/KPTN/NCOA1/INHBB/NR4A2/CBS/COMT/GAS2L1/MTMR3/CASTOR1/PICK1/EP300/KAT2B/MYD88/DAG1/FAM107A/EIF4G1/NFKB1/FGF2/TLR3/DAP/ITGA2/IRF1/PPARD/CDKN1A/GCLC/AQP1/EGFR/MLXIPL/SNAI2/KLF10/PLEC/SCX/MAPKAP1/ENG/RXRA/WDR45/LAMP2",80
