"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050808","synapse organization","152/1758","493/18888",0.308316430020284,3.31256014233397,16.6678216127701,1.46386228536819e-42,8.09808616265682e-39,7.15289339860962e-39,"AGRN/EPHB2/DLGAP3/NEGR1/AMIGO1/CHRNB2/NOS1AP/DNM3/TNR/CACNB2/ANK3/SPOCK2/NRG3/SNCG/PTEN/SLIT1/INA/NEURL1/BDNF/LRRC4C/NRXN2/CFL1/SPTBN2/LRFN4/SHANK2/GRM5/MTMR2/CNTN5/NECTIN1/KIRREL3/LRTM2/CLSTN3/GRIN2B/PTPRO/LRRK2/AMIGO2/CUX2/PCDH8/MYCBP2/SLITRK1/SLITRK6/SLITRK5/CPNE6/LRFN5/SPTB/GPHN/SLC8A3/FLRT2/GABRB3/GABRA5/GABRG3/CHRNA7/ITPKA/SPG11/MESD/ST8SIA2/CBLN1/CX3CL1/CDH8/PAFAH1B1/EFNB3/SHISA6/ARHGAP44/ASIC2/CACNB1/CNTNAP1/TANC2/ACTG1/ABHD17A/HAPLN4/LRFN1/SLC8A2/SHISA7/NRXN1/DCTN1/CTNNA2/ZNF804A/ALS2/ERBB4/EPHA4/DNER/SNAP25/FLRT3/SYNDIG1/PTPRT/APP/DSCAM/LARGE1/CNTN6/CNTN4/OXTR/LHFPL4/CAMK1/SLC6A1/BSN/AMIGO3/ERC2/ROBO2/CHMP2B/CLSTN2/SLITRK3/NLGN1/IL1RAP/GABRA2/GABRA4/ADGRL3/SPARCL1/SNCA/GRID2/GLRB/CDH10/MAP1B/MEF2C/PCDHB10/PCDHGC4/SYNPO/GRIA1/GABRB2/GABRG2/DRD1/DTNBP1/SYNGAP1/LRFN2/FILIP1/EPHA7/ELFN1/ACTB/DBNL/PCLO/SEMA3E/ACHE/NRCAM/LRRC4/PLXNA4/CDK5/YWHAZ/SYBU/SLC1A1/PTPRD/LINGO2/FRRS1L/NLGN4X/FRMPD4/CDKL5/CNKSR2/SYN1/ZC4H2/SLITRK4/GABRA3/L1CAM/RAB39B/NLGN4Y",152
"GO:0099177","regulation of trans-synaptic signaling","139/1758","494/18888",0.281376518218623,3.0231169943762,14.5968325391805,4.02895854293123e-34,1.11440993297478e-30,9.84338187172988e-31,"PINK1/EPHB2/DLGAP3/NCDN/PLPPR4/CHRNB2/TNR/PTGS2/PPP3CB/NRG3/SNCG/PTEN/CPEB3/INA/NEURL1/SORCS3/ADRA2A/BDNF/LRRC4C/DGKZ/CHRM1/SYT12/SHANK2/GRM5/MTMR2/CLSTN3/GRIN2B/KRAS/LRRK2/SLC38A1/SYT1/CUX2/HTR2A/PCDH8/NALCN/AKAP5/SLC8A3/CYP46A1/APBA2/CHRNA7/VPS18/ITPKA/RASGRF1/BAIAP3/PRRT2/STX1B/CBLN1/CX3CL1/CALB2/JPH3/PAFAH1B1/EFNB3/SHISA6/ARHGAP44/MPP2/ACE/DLGAP1/SYT4/TSHZ3/SLC8A2/PRKCG/CACNG8/SHISA7/OTOF/PRKCE/NRXN1/PPP3R1/EPHA4/SERPINE2/PTPRA/PLCB1/SNAP25/APP/GRIK1/MAPK1/YWHAH/LARGE1/MAPK8IP2/CNTN4/GRM7/OXTR/SLC6A1/ERC2/CHMP2B/CLSTN2/P2RY1/NLGN1/CPLX1/NSG1/SNCA/GRID2/PPP3CA/GUCY1A1/GUCY1B1/RAPGEF2/NPY5R/TRIO/MAP1B/MEF2C/GRIA1/DRD1/CPLX2/TUBB2B/EDN1/DTNBP1/SYNGAP1/LRFN2/EPHA7/GRM1/STXBP5/PRKN/PRKAR1B/GRM3/PPP1R9A/ACHE/PRKAR2B/GRM8/LRRC4/DGKI/CDK5/DLGAP2/FABP5/CALB1/RNF19A/RIMS2/SYBU/SLC1A1/PTPRD/PHF24/APBA1/FRRS1L/DNM1/CACNA1B/NLGN4X/CDKL5/SYN1/SYP/GRIA3/NLGN4Y",139
"GO:0050803","regulation of synapse structure or activity","78/1758","249/18888",0.313253012048193,3.36559891442905,12.0376503819463,9.37710727766883e-23,1.03748314920128e-19,9.16390147009236e-20,"AGRN/EPHB2/NEGR1/AMIGO1/CHRNB2/DNM3/PTEN/SLIT1/NEURL1/SLC17A6/BDNF/CFL1/LRFN4/SHANK2/NECTIN1/LRTM2/CLSTN3/GRIN2B/PTPRO/LRRK2/AMIGO2/SLC17A8/CUX2/PCDH8/MYCBP2/SLITRK1/SLITRK6/SLITRK5/LRFN5/FLRT2/ITPKA/ST8SIA2/CBLN1/CDH8/PAFAH1B1/EFNB3/ARHGAP44/ASIC2/CNTNAP1/TANC2/ABHD17A/LRFN1/NRXN1/DCTN1/CTNNA2/ZNF804A/EPHA4/SNAP25/FLRT3/SYNDIG1/PTPRT/APP/OXTR/LHFPL4/CAMK1/AMIGO3/ROBO2/CHMP2B/CLSTN2/SLITRK3/NLGN1/IL1RAP/SNCA/GRID2/MEF2C/DTNBP1/SYNGAP1/LRFN2/EPHA7/NRCAM/CDK5/YWHAZ/SYBU/PTPRD/LINGO2/FRMPD4/CDKL5/SLITRK4",78
"GO:0050890","cognition","83/1758","322/18888",0.257763975155279,2.76942318699256,10.2591816825214,3.52160215197224e-18,2.4351878880888e-15,2.15095752492831e-15,"EPHB2/GPR88/CHRNB2/TNR/PTGS2/PPP3CB/PTEN/CPEB3/SORCS3/RIC8A/BDNF/CHRM1/NRXN2/SHANK2/GRM5/GRIN2B/KRAS/PDE1B/CUX2/HTR2A/SLC8A3/NRXN3/KCNK10/GABRA5/CHRNA7/SPG11/TMOD2/RASGRF1/JPH3/PAFAH1B1/METTL23/SYT4/CRTC1/GPI/SLC8A2/PRKCG/SHISA7/NRXN1/SCN2A/PLCB1/PAK5/SNAP25/SLC12A5/NTSR1/OPRL1/APP/SYNJ1/DGCR2/MAPK1/LARGE1/MAPK8IP2/CHL1/OXTR/SLC6A1/CHMP2B/CLSTN2/JAKMIP1/ATP8A1/UBA6/CASP3/PDE8B/MEF2C/CAMK4/GRIA1/DRD1/ATXN1/SYNGAP1/SOBP/PRKN/PRKAR1B/NSUN5/NPTX2/PRKAR2B/CNTNAP2/CDK5/CSMD1/CALB1/VLDLR/SLC1A1/BRINP1/NLGN4X/AFF2/NLGN4Y",83
"GO:0007409","axonogenesis","101/1758","455/18888",0.221978021978022,2.38493792896523,9.57966319285006,6.37736269948412e-17,2.93996420446218e-14,2.59681733780748e-14,"EPHB2/STMN1/NRDC/DAB1/USP33/BARHL2/PLPPR4/AMIGO1/CHRNB2/TNR/LHX9/RET/ANK3/PPP3CB/PTEN/SLIT1/APBB1/BDNF/LRRC4C/CNTN5/THY1/NECTIN1/LRTM2/PTPRO/CNTN1/PRICKLE1/NELL2/ARHGEF25/NTN4/ATP8A2/DCLK1/MYCBP2/SLITRK1/SLITRK6/SLITRK5/NRXN3/FLRT2/NDN/SPG11/SEMA6D/TUBB3/PITPNA/PAFAH1B1/EFNB3/CNTNAP1/ACTG1/NRXN1/SEMA4F/CTNNA2/CHN1/BMPR2/MAP2/CDK5R2/EPHA4/SNAP25/FLRT3/CHODL/APP/DSCAM/ADARB1/CHL1/CNTN6/CNTN4/ROBO2/EPHA3/EPHA6/PLXNA1/SLITRK3/SLIT2/EPHA5/PLEKHG4B/TRIO/MAP1B/ARHGEF28/FSTL4/PCDHAC2/CYFIP2/SLIT3/UNC5A/TUBB2B/EDN1/KIAA0319/SYNGAP1/EPHA7/UST/TIAM2/ACTB/SEMA3E/NRCAM/PLXNA4/CDK5/UNC5D/ANOS1/CDKL5/XK/USP9X/SLC9A6/MCF2/SLITRK4/L1CAM/GDI1",101
"GO:0099504","synaptic vesicle cycle","58/1758","199/18888",0.291457286432161,3.13142504330526,9.68313115946948,1.16061795219564e-15,4.58609893681879e-13,4.05081844668585e-13,"RAB3B/DNAJC6/DNM3/PPP3CB/SNCG/PTEN/SLC17A6/SYT12/LRRK2/SYT1/SLC17A8/VPS18/SH3GL3/PRRT2/STX1B/ATP6V0D1/ACTG1/SYT4/PRKCG/SYT5/OTOF/PPP3R1/RAPGEF4/SNAP25/SYNDIG1/SLC32A1/DNAJC5/SYNJ1/SYN2/BSN/ERC2/CADPS/P2RY1/NLGN1/CPLX1/SNCA/CPLX2/DTNBP1/PACSIN1/SNAP91/STXBP5/PRKN/PRKAR1B/ACTB/AMPH/PCLO/CADPS2/CDK5/ATP6V1B2/PPP3CC/RIMS2/SH3GL2/DNM1/TOR1A/NLGN4X/SYN1/SYP/NLGN4Y",58
"GO:0007626","locomotory behavior","58/1758","202/18888",0.287128712871287,3.08491873078093,9.54374633328364,2.43728193804862e-15,8.9886957875233e-13,7.93955281152399e-13,"MTOR/DAB1/NEGR1/GPR88/CHRNB2/GPR52/TNR/ASTN1/PPP3CB/SNCG/PTEN/CEND1/SHANK2/GRM5/LRRK2/CNTN1/PDE1B/SLITRK6/APBA2/SPG11/PAFAH1B1/EFNB3/ID2/STRN/PRKCE/HTRA2/SCN1A/ALS2/EPHA4/PAK5/SNAP25/ABHD12/NTSR1/OPRL1/APP/DSCAM/LARGE1/RASD2/CHL1/CRBN/TRH/FGF12/UBA6/SNCA/GLRB/NPY1R/ANKH/EGR1/DRD1/SOBP/GRM1/PRKN/KCND2/CALB1/SLC1A1/APBA1/AGTPBP1/HPRT1",58
"GO:0032409","regulation of transporter activity","51/1758","260/18888",0.196153846153846,2.10748227881334,5.76039930163563,2.29503146766897e-07,1.95324831986842e-05,1.72526899966306e-05,"EPHB2/SLC9A1/NOS1AP/ATP1B1/CNIH3/RYR2/CACNB2/ANK3/ADRA2A/GRM5/SCN4B/NDFIP2/FGF14/AKAP6/CALM1/GNB5/SYNGR3/JPH3/SHISA6/CACNB1/CRHR1/FXYD7/CALM3/CACNG8/SHISA7/PRKCE/STK39/HECW2/FKBP1A/KCNS1/KCNG1/APP/YWHAH/MAPK8IP2/PRKCD/KCNAB1/NLGN1/FGF12/SNCA/ANK2/MEF2C/NDFIP1/EDN1/ACTB/NDUFA4/HECW1/CACNA2D1/KCNS2/DAPK1/WNK2/WNK3",51
"GO:0031644","regulation of nervous system process","30/1758","119/18888",0.252100840336134,2.70857831187082,5.9896307102595,3.12214574992405e-07,2.61692580129998e-05,2.31148334468061e-05,"DLGAP3/NRDC/TNR/PTEN/TENM4/MTMR2/GRIN2B/LRRK2/CUX2/SLC8A3/DICER1/CHRNA7/STX1B/CBLN1/DLGAP1/SLC8A2/NRXN1/NTSR1/APP/NLGN1/FGF12/TPPP/CARTPT/TNFRSF21/GRM1/PRKAR1B/DLGAP2/FABP5/RIMS2/NLGN4X",30
"GO:0060560","developmental growth involved in morphogenesis","48/1758","243/18888",0.197530864197531,2.12227699827245,5.64071618913177,4.15532962989988e-07,3.3804828695009e-05,2.98591952662465e-05,"BARHL2/TNR/PPP3CB/SLIT1/BDNF/PRICKLE1/SYT1/DCLK1/ADPRHL1/CPNE6/NDN/SPG11/SEMA6D/ST8SIA2/PAFAH1B1/IMPACT/SYT4/BCL11A/EMX1/SEMA4F/BMPR2/MAP2/FLRT3/APP/DSCAM/PLXNA1/OSTN/SLIT2/MAP1B/FSTL4/CYFIP2/SLIT3/EDN1/KIAA0319/CPNE5/EPHA7/PRKN/SEMA3E/NRCAM/PLXNA4/CDK5/RIMS2/SH3GL2/CDKL5/USP9X/SLC9A6/L1CAM/GDI1",48
