"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006260","DNA replication","61/1540","278/18888",0.219424460431655,2.69122675885266,8.46385465235994,6.2703792577847e-13,3.45309785726203e-09,3.100867552955e-09,"ORC1/NFIA/SDE2/DNA2/WEE1/SSRP1/FAM111B/FAM111A/POLD3/MRE11/ZPR1/CHEK1/CDKN1B/DDX11/ATF1/CDK2/NAP1L1/POLE/BRCA2/BAZ1A/YY1/PCLAF/PIF1/POLG/TICRR/RBBP6/BRCA1/CENPX/METTL4/RBBP8/NFIC/RNASEH2A/NFIX/POLD1/LPIN1/INO80D/ING5/MCM8/MGME1/GINS1/TOP1/MCM5/CDC25A/TREX1/POLQ/PDS5A/JADE2/GMNN/BRPF3/MCM3/MMS22L/MCM9/FBXO5/DNAJC2/REPIN1/ESCO2/FGFR1/GINS4/TONSL/RECQL4/CIZ1",61
"GO:0007059","chromosome segregation","77/1540","423/18888",0.182033096926714,2.23262411347518,7.63911997791382,1.534396016664e-11,4.22495943188432e-08,3.79399604541446e-08,"MAD2L2/RCC2/CEP85/RCC1/CDC20/STIL/ITGB3BP/SASS6/PMF1/CENPL/EML3/DPF2/RPS3/MRE11/NCAPD3/NCAPD2/KMT5A/DIAPH3/HAUS4/DLGAP5/XRCC3/NUSAP1/STARD9/CIAO2A/KIF23/UBE2I/NDE1/CENPT/HASPIN/SPAG5/PSMC3IP/BRCA1/KIF18B/SKA2/SMARCD2/BIRC5/SIRT7/CENPX/NDC80/SKA1/AKAP8/AKAP8L/HAUS8/LSM14A/CENPO/NCAPH/SGO2/TOP1/UBE2C/CHEK2/CENPM/FANCD2/SGO1/SMC4/TACC3/HAUS3/NCAPG/MND1/TENT4A/IK/NUP43/FBXO5/PHF10/BCL7B/STAG3/NCAPG2/ESCO2/TEX15/GEM/RAD21/HAUS6/SMC5/C9orf78/KIF4A/CENPI/STAG2/FLNA",77
"GO:0044772","mitotic cell cycle phase transition","80/1540","451/18888",0.177383592017738,2.17559823768249,7.5286865020132,2.35801367250493e-11,4.32852709816155e-08,3.88699938015023e-08,"MAD2L2/RCC2/SYF2/RCC1/CDC20/STIL/CDKN2C/ORC1/NFIA/SASS6/CDC14A/CKS1B/DDR2/SDE2/ITGB1/STOX1/PIDD1/TAF10/WEE1/DPF2/CDK2AP2/MRE11/CHEK1/FOXM1/CDKN1B/CDK2/CDK4/CRADD/APPL2/TAOK3/POLE/RGCC/TFDP1/DLGAP5/XRCC3/RPS27L/PML/TICRR/TFAP4/GSPT1/DCUN1D3/MBTPS1/HASPIN/CCL2/BRCA1/CDK5RAP3/SMARCD2/BIRC5/CCDC57/NDC80/RBBP8/KANK2/BRD4/NOP53/CDC25B/RBL1/UBE2C/CHEK2/FBXO7/CTDSPL/CDC25A/TREX1/TACC3/PKD2/FBXL7/IK/CCNJL/CCNG1/UIMC1/BTN2A2/FBXO5/PHF10/HUS1/BCL7B/CDK6/CASP2/EIF4EBP1/RAD21/SMC5/PHF8",80
"GO:0140694","non-membrane-bounded organelle assembly","72/1540","413/18888",0.174334140435835,2.13819691204679,6.96814772501144,5.28127624887527e-10,4.84733138375935e-07,4.35288347670456e-07,"RPL11/CEP85/RCC1/CDC20/STIL/SASS6/POGZ/PRRC2C/OBSCN/ITGB1/PATL1/EML3/RBM14/RPS3/DAZAP2/CDK2/PAN2/POC1B/SUGT1/DIAPH3/HAUS4/PRKD1/DLGAP5/SIX4/STARD9/CEP152/RPS27L/KIF23/ATXN2L/CENPT/ALKBH5/SPAG5/TCAP/KAT2A/BRCA1/JMJD6/BIRC5/RNF213/CENPX/CCDC57/NDC80/SMAD4/RPS15/HAUS8/LSM14A/WDR62/NOP53/CENPA/AUP1/NEB/OBSL1/MTERF4/SRC/YTHDF1/CHEK2/LIMD1/FXR1/HAUS3/RPS23/G3BP1/CNOT6/SRF/FBXO5/FLNC/HAUS6/GSN/MRPS2/MOSPD2/MSN/KIF4A/STAG2/FLNA",72
"GO:0007098","centrosome cycle","34/1540","139/18888",0.244604316546763,3.00005605904886,7.05143745248098,4.37121084706212e-09,2.6746953483079e-06,2.40186532859624e-06,"CEP85/STIL/SASS6/RBM14/CHORDC1/CHEK1/CDK2/POC1B/BRCA2/HAUS4/NIN/XRCC3/CEP152/PCLAF/NDE1/CHD3/KAT2A/BRCA1/CEP131/CCDC57/NDC80/PARD6G/HAUS8/WDR62/ATF5/XPO1/SGO1/HAUS3/PKD2/XRCC2/CNTLN/HAUS6/ODF2/UXT",34
"GO:0001701","in utero embryonic development","66/1540","401/18888",0.164588528678304,2.0186676166726,6.14311449493116,2.89117622706072e-08,9.36571028377845e-06,8.41036898744969e-06,"SYF2/INPP5B/STIL/NOTCH2/OTUD7B/SLC39A1/ZBED6/ITGB1/SEC24C/TAF10/WDR74/ZPR1/CHEK1/TEAD4/YBX3/PPP1CC/BRCA2/DIAPH3/ATP11A/AXIN1/SOX8/RBBP6/NXN/NSRP1/FKBP10/KAT2A/GNA13/RBBP8/SMAD2/SMAD4/APBA3/JUNB/ELL/CNOT3/EPN1/TRIM28/VPS54/BCL2L11/GINS1/ZNF335/SNAI1/CEBPB/BMP7/GABPA/EOMES/HEG1/RBPJ/WDR19/PKD2/BTF3/MDFI/TFEB/TAF8/SRF/VEGFA/GLI3/PSPH/PLOD3/SMO/XRCC2/NCAPG2/FGFR1/GINS4/TTPA/ANKS6/THOC2",66
"GO:0016032","viral process","65/1540","428/18888",0.151869158878505,1.86266537201117,5.378554151851,7.45659226058371e-07,0.000136878178596782,0.000122916036632359,"EPHA2/RCC1/HDAC1/NFIA/F11R/EIF2D/ITGB1/EIF3A/CTBP2/TRIM5/TRIM22/FAM111A/SLC3A2/BANF1/PC/SP1/PCBP2/ITGA5/HMGA2/TPCN1/VPS37B/SCARB1/MPHOSPH8/ZDHHC20/GAS6/IFI27/CCNK/NEDD4/PARP16/ANPEP/JPT2/TFAP4/MON1B/CCL2/HEXIM1/ITGB3/CALCOCO2/P4HB/PTBP1/ILF3/LDLR/RAD23A/BST2/USF2/ZFP36/AXL/SLC1A5/TRIM28/PCBP1/SIGLEC1/ZDHHC8/PPARA/TMEM39A/ITGB5/LAMP3/REST/CHD1/CANX/EEF1A1/ZC3HAV1/SLC52A2/SMC5/GSN/STOM/ST6GALNAC4",65
"GO:0035966","response to topologically incorrect protein","30/1540","152/18888",0.197368421052632,2.42071086807929,5.23969734067209,4.66162407085531e-06,0.000693826047518924,0.000623052912798812,"FBXO6/DNAJB4/HSPA6/PPP1R15B/ATF3/BAG3/DNAJC4/SERPINH1/TMBIM6/DNAJC3/HSP90AA1/PARP16/HERPUD1/MBTPS1/DERL2/CDK5RAP3/RNF126/DNAJB1/BCL2L11/NFE2L2/UFD1/ATF4/NCK1/TMEM129/CREBRF/RACK1/DAXX/HSPB1/HSF1/DNAJB5",30
"GO:2000036","regulation of stem cell population maintenance","18/1540","73/18888",0.246575342465753,3.02423056395659,5.16281354251393,1.64941408631787e-05,0.00189235903611511,0.00169933056524592,"HDAC1/DPF2/BRMS1/TEAD4/SINHCAF/HMGA2/KAT2A/SS18/BICRA/CNOT3/SAP130/BMP7/REST/SAP30/ING2/PHF10/BCL7B/SMO",18
"GO:0001704","formation of primary germ layer","25/1540","131/18888",0.190839694656489,2.34063646277387,4.58756393268212,5.06569883722304e-05,0.00464946724943121,0.00417520230478489,"EPHA2/COL11A1/ITGB1/TAF10/ITGA5/ITGA7/HMGA2/MMP14/AXIN1/KDM6B/ITGB3/TWSG1/LAMA3/SMAD2/FZD7/SNAI1/BMP7/POFUT2/COL6A1/EOMES/COL7A1/ITGB5/SRF/FGFR1/COL5A1",25
