"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","43/1099","160/18888",0.26875,4.61888080072793,11.4259715479379,9.43629723215993e-18,4.25105190308805e-14,4.07250722651113e-14,"RPL22/EIF3I/RPS8/RPL5/RPS27/EIF3F/RPS26/RPL41/RPL6/RPLP0/EIF2B1/RPL21/METTL3/RPS29/RPS17/RPS2/RPS15A/RPL13/RPL23/RPL17/RPL36/UBA52/RPL18/RPS5/EIF2S2/EIF3D/RPL3/RPSA/RPL29/RPL24/CNBP/RPL22L1/EIF2B5/RPL35A/RPL9/RPS3A/RPS14/RPS20/EIF3E/RPL35/RPL7A/RPL36A/RPL10",43
"GO:0022613","ribonucleoprotein complex biogenesis","77/1099","499/18888",0.154308617234469,2.65203017499968,9.29594960887388,3.05734667046103e-15,6.88667337521347e-12,6.5974322888896e-12,"NOL9/EIF3I/AGO3/GNL2/RPS8/RPL5/RPS27/KHDC4/METTL18/C1orf131/TFB2M/PRPF18/EIF3F/CELF1/TRMT112/LTO1/DDX47/SNRPF/RPL6/RPLP0/SRSF9/NOC4L/CUL4A/PRMT5/NGDN/PRPF39/SRSF5/RPS17/RSL1D1/RPS15A/ERI2/CD2BP2/NIP7/DDX52/RIOK3/SNRPD2/RPS5/NOL10/SF3B6/GEMIN6/MPHOSPH10/USP39/WDR75/SF3B1/NOP58/NOP56/EIF2S2/YBEY/EIF3D/PHF5A/RRP7BP/RPSA/NMD3/RPL35A/RPS3A/RIOK2/RPS14/SLU7/NPM1/NOP16/NOL7/SNRPC/MDN1/SBDS/NSUN5P2/LUC7L2/NOM1/ERI1/MTERF3/DCAF13/EIF3E/EXOSC3/RPL35/RPL7A/LAS1L/RBMX2/RPL10",77
"GO:0000280","nuclear division","65/1099","446/18888",0.145739910313901,2.50476380892536,7.99348798992316,6.52910690947752e-12,9.8045422090654e-09,9.3927502908273e-09,"AURKAIP1/WRAP73/CDCA8/NUF2/TPR/MASTL/ZWINT/CDK1/KIF20B/KIF11/INCENP/CDCA5/RAD51AP1/KNTC1/CCNA1/MZT1/BORA/PIBF1/PCID2/CDC16/CCNB1IP1/PRMT5/FANCM/BUB1B/KNSTRN/RAD51/CCNB2/PRC1/PKMYT1/KIF22/CDT1/FANCA/KPNB1/EME1/ANAPC11/CHMP1B/CEP192/MISP/UBE2S/CUL3/TPX2/AURKA/PDXP/MLH1/RPL24/CEP97/CENPC/CENPE/MAD2L1/SMARCA5/CCNB1/CDC25C/PTTG1/BOD1/SYCP2L/HSPA1B/UBR2/PHIP/SUN1/PINX1/RAD54B/FBXO43/DCAF13/MTBP/CKS2",65
"GO:0007059","chromosome segregation","62/1099","423/18888",0.146572104018913,2.51906633367536,7.85374570633835,1.58410599300756e-11,1.18939958308318e-08,1.13944466163702e-08,"WRAP73/CDCA8/GTF2B/NUF2/TPR/ZWINT/CDK1/KIF11/INCENP/CDCA5/KNTC1/MZT1/PIBF1/TUBGCP3/PCID2/CDC16/CCNB1IP1/BUB1B/KNSTRN/OIP5/CCNB2/PRC1/RMI2/KIF22/CSNK2A2/CIAO2B/CENPN/CDT1/CDC6/KPNB1/ANAPC11/CHMP1B/CEP192/RIOK3/MISP/SMC6/CUL3/TPX2/DSN1/FAM83D/AURKA/MIS18A/MLH1/CEP97/RNF4/CENPC/CENPE/MAD2L1/SMARCA5/CENPU/CCNB1/RIOK2/PTTG1/BOD1/HSPA1B/CENPQ/CENPW/SUN1/PINX1/DCAF13/NTMT1/SLC25A5",62
"GO:0034470","ncRNA processing","62/1099","433/18888",0.143187066974596,2.46088928208932,7.64379084540577,4.30262676796896e-11,2.42291669871252e-08,2.32115391429904e-08,"PUSL1/NOL9/AGO3/TRIT1/RPS8/RPL5/RPS27/METTL18/TFB2M/NSUN6/TUT1/TRMT112/PUS3/DDX47/NOC4L/METTL3/NGDN/RTRAF/ALKBH1/TRMT61A/SMAD3/RPS17/RSL1D1/ERI2/PLD6/DDX52/DDX5/DUS1L/RIOK3/DUS3L/QTRT1/TRMT1/CTU1/TSEN34/NOL10/FAM98A/MPHOSPH10/C2orf49/WDR75/OSGEPL1/NOP58/NOP56/YBEY/RRP7BP/TRMU/RPL35A/RIOK2/RPS14/NOL7/TRMT11/ADAT2/SBDS/TYW1B/NSUN5P2/ERI1/INTS8/DCAF13/EXOSC3/RPL35/RPL7A/LAS1L/RNF113A",62
"GO:0140694","non-membrane-bounded organelle assembly","50/1099","413/18888",0.121065375302663,2.08069409346379,5.5193781369816,7.30109614013352e-07,0.000131565752445206,0.000126039975471779,"WRAP73/CDCA8/GTF2B/RPL5/RPS27/TPR/KIF11/INCENP/CEP295/MDM1/RPL6/RPLP0/KNTC1/MZT1/PIBF1/TUBGCP3/CCNB2/PRC1/CCDC78/NIP7/KPNB1/CHMP1B/CEP192/MISP/RPS5/TIA1/TPX2/AURKA/PISD/RRP7BP/LSM3/MLH1/RPSA/CEP97/RNF4/CENPC/CENPE/PLK4/CEP44/RPS14/NPM1/HSPA1B/MDN1/CENPW/SBDS/PPP1R35/YTHDF3/MTERF3/DCAF13/RPL10",50
"GO:0090068","positive regulation of cell cycle process","36/1099","263/18888",0.136882129277567,2.35252926095967,5.49010906188649,1.56016108246619e-06,0.000251018774161077,0.000240475956319976,"CDCA8/TPR/DTL/SVIL/CDK1/KIF20B/SLF2/RRM1/INCENP/CDCA5/CEP295/CCND2/RAD51AP1/E2F7/CIT/PCID2/CUL4A/CDC16/CENPV/ATAD5/CDC6/DBF4B/ANAPC11/SMC6/CUL3/FAM83D/AURKA/MAD2L1/PLK4/CCNB1/CDC25C/NPM1/PHIP/DBF4/PPP1R35/MTBP",36
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","42/1099","389/18888",0.107969151670951,1.85561541106545,4.23822336728751,8.52528071774495e-05,0.00640106493890683,0.0061322194636411,"DTL/BIRC2/DDIT3/RNF10/CUL4A/CDC16/DCAF11/TRIM9/ATXN3/FBXO22/ELOB/PSMB10/FBXL20/PSMD3/SUMO2/ANAPC11/PSMC4/UBE2S/ZNF418/ZFAND2B/CUL3/TRIB3/ITCH/AURKA/PSMA7/ADRM1/LTN1/RBX1/SIAH2/RNF4/ANAPC10/SKP2/CAMLG/KLHL3/HSPA1B/UBR2/KLHDC10/DCAF13/RNF139/FBXL6/KLHL15/OGT",42
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","14/1099","78/18888",0.179487179487179,3.08476237138658,4.58578861845854,0.000145457103265793,0.00936120357446282,0.00896803193067295,"IPO7/CCND2/CCNT1/CCNA1/CDKN3/CCNB2/PKMYT1/CDC6/CDC37/CCNT2/CCNG2/CCNB1/CCNH/CDC25C",14
"GO:0006479","protein methylation","10/1099","49/18888",0.204081632653061,3.50745575755325,4.36824476061248,0.000438451299431634,0.0195566643954407,0.0187352822060417,"METTL18/TRMT112/ETFBKMT/PRMT5/METTL22/PRMT1/FAM98A/NDUFAF7/METTL21A/NTMT1",10
"GO:0008213","protein alkylation","10/1099","49/18888",0.204081632653061,3.50745575755325,4.36824476061248,0.000438451299431634,0.0195566643954407,0.0187352822060417,"METTL18/TRMT112/ETFBKMT/PRMT5/METTL22/PRMT1/FAM98A/NDUFAF7/METTL21A/NTMT1",10
"GO:0140053","mitochondrial gene expression","21/1099","164/18888",0.128048780487805,2.20071461861115,3.83854799175143,0.000560062025806184,0.0233618465394154,0.0223806462554128,"AURKAIP1/SLC25A33/TRIT1/MRPL9/DAP3/TFB2M/MRPL51/MRPL42/MRPL52/ALKBH1/MRPS34/MRPL10/MRPL33/MRPL53/MRPL19/MRPL40/MRPL18/MRPL32/MRPS24/MTERF3/MRPL41",21
"GO:0006913","nucleocytoplasmic transport","34/1099","333/18888",0.102102102102102,1.75478116879391,3.45395967237728,0.00104889841399931,0.0378022988405351,0.0362145978728183,"MAGOH/UHMK1/TPR/CDK1/IPO7/SARNP/NUP107/PPP1R12A/WASHC4/FGF9/PCID2/CTDSPL2/SMAD3/FBXO22/NUTF2/RPAIN/RPL23/KPNB1/KPNA2/ALYREF/THOC1/GCKR/RGPD1/NEUROD1/ANKRD54/NUP50/NMD3/FYTTD1/RIOK2/HSPA9/NPM1/THOC3/CCHCR1/MDN1",34
"GO:0051169","nuclear transport","34/1099","333/18888",0.102102102102102,1.75478116879391,3.45395967237728,0.00104889841399931,0.0378022988405351,0.0362145978728183,"MAGOH/UHMK1/TPR/CDK1/IPO7/SARNP/NUP107/PPP1R12A/WASHC4/FGF9/PCID2/CTDSPL2/SMAD3/FBXO22/NUTF2/RPAIN/RPL23/KPNB1/KPNA2/ALYREF/THOC1/GCKR/RGPD1/NEUROD1/ANKRD54/NUP50/NMD3/FYTTD1/RIOK2/HSPA9/NPM1/THOC3/CCHCR1/MDN1",34
"GO:0170036","import into the mitochondrion","9/1099","46/18888",0.195652173913043,3.36258258495866,3.98755772700647,0.00115724185190978,0.0407294886160435,0.0390188453357739,"SLC25A33/TIMM23B/SLC25A28/MICU2/SLC25A38/SLC25A36/GRPEL2/MRPL18/SLC25A37",9
"GO:0051438","regulation of ubiquitin-protein transferase activity","8/1099","38/18888",0.210526315789474,3.61821751831809,4.01556272535099,0.00131039044464528,0.0450634271231068,0.0431707579192097,"RPL5/RPS2/RPL23/UBE2S/TRIB3/MAD2L1/ARRDC3/BAG2",8
